time,Temperature (°C),Pressure (Pa)
2018-02-21 22:05:20.830,21.37,102357.94
2018-02-21 22:05:20.831,21.38,102366.72
2018-02-21 22:05:20.834,21.37,102360.61
2018-02-21 22:05:20.838,21.37,102360.61
2018-02-21 22:05:20.842,21.38,102359.49
2018-02-21 22:05:20.846,21.38,102364.05
2018-02-21 22:05:20.850,21.38,102364.05
2018-02-21 22:05:20.854,21.39,102365.6
2018-02-21 22:05:20.858,21.39,102357.6
2018-02-21 22:05:20.862,21.39,102360.26
2018-02-21 22:05:20.867,21.39,102360.26
2018-02-21 22:05:20.867,21.39,102360.26
2018-02-21 22:05:20.871,21.38,102356.82
2018-02-21 22:05:20.874,21.38,102356.82
2018-02-21 22:05:20.879,21.38,102359.49
2018-02-21 22:05:20.883,21.39,102357.6
2018-02-21 22:05:20.887,21.38,102358.71
2018-02-21 22:05:20.891,21.38,102358.71
2018-02-21 22:05:20.895,21.39,102362.92
2018-02-21 22:05:20.899,21.39,102365.6
2018-02-21 22:05:20.903,21.38,102362.16
2018-02-21 22:05:20.904,21.38,102362.16
2018-02-21 22:05:20.907,21.39,102369.03
2018-02-21 22:05:20.911,21.38,102364.05
2018-02-21 22:05:20.915,21.38,102364.05
2018-02-21 22:05:20.919,21.37,102357.94
2018-02-21 22:05:20.923,21.38,102364.05
2018-02-21 22:05:20.927,21.4,102367.11
2018-02-21 22:05:20.931,21.4,102367.11
2018-02-21 22:05:20.935,21.39,102365.6
2018-02-21 22:05:20.939,21.38,102362.16
2018-02-21 22:05:20.941,21.38,102362.16
2018-02-21 22:05:20.944,21.39,102362.92
2018-02-21 22:05:20.948,21.39,102358.36
2018-02-21 22:05:20.952,21.39,102363.7
2018-02-21 22:05:20.956,21.39,102363.7
2018-02-21 22:05:20.960,21.4,102367.11
2018-02-21 22:05:20.964,21.39,102360.26
2018-02-21 22:05:20.969,21.39,102360.26
2018-02-21 22:05:20.973,21.4,102364.44
2018-02-21 22:05:20.977,21.4,102361.78
2018-02-21 22:05:20.978,21.38,102359.49
2018-02-21 22:05:20.981,21.38,102359.49
2018-02-21 22:05:20.985,21.4,102359.11
2018-02-21 22:05:20.990,21.39,102365.6
2018-02-21 22:05:20.994,21.39,102365.6
2018-02-21 22:05:20.998,21.4,102357.18
2018-02-21 22:05:21.002,21.39,102363.7
2018-02-21 22:05:21.006,21.39,102366.36
2018-02-21 22:05:21.010,21.39,102366.36
2018-02-21 22:05:21.013,21.39,102361.03
2018-02-21 22:05:21.015,21.4,102364.44
2018-02-21 22:05:21.019,21.4,102364.44
2018-02-21 22:05:21.022,21.39,102361.03
2018-02-21 22:05:21.026,21.4,102367.11
2018-02-21 22:05:21.031,21.39,102366.36
2018-02-21 22:05:21.034,21.39,102366.36
2018-02-21 22:05:21.038,21.4,102356.44
2018-02-21 22:05:21.043,21.4,102367.11
2018-02-21 22:05:21.047,21.4,102361.78
2018-02-21 22:05:21.050,21.4,102361.78
2018-02-21 22:05:21.051,21.4,102359.85
2018-02-21 22:05:21.055,21.4,102361.78
2018-02-21 22:05:21.059,21.4,102361.78
2018-02-21 22:05:21.063,21.39,102358.36
2018-02-21 22:05:21.067,21.4,102361.78
2018-02-21 22:05:21.071,21.4,102359.11
2018-02-21 22:05:21.075,21.4,102359.11
2018-02-21 22:05:21.079,21.39,102361.03
2018-02-21 22:05:21.084,21.4,102359.85
2018-02-21 22:05:21.087,21.4,102359.85
2018-02-21 22:05:21.089,21.39,102355.7
2018-02-21 22:05:21.092,21.4,102361.78
2018-02-21 22:05:21.096,21.39,102357.6
2018-02-21 22:05:21.100,21.39,102357.6
2018-02-21 22:05:21.105,21.4,102364.44
2018-02-21 22:05:21.109,21.4,102365.19
2018-02-21 22:05:21.112,21.4,102365.19
2018-02-21 22:05:21.116,21.4,102367.11
2018-02-21 22:05:21.121,21.41,102363.29
2018-02-21 22:05:21.124,21.4,102367.11
2018-02-21 22:05:21.125,21.4,102367.11
2018-02-21 22:05:21.128,21.4,102362.52
2018-02-21 22:05:21.133,21.4,102357.18
2018-02-21 22:05:21.137,21.4,102357.18
2018-02-21 22:05:21.140,21.4,102359.85
2018-02-21 22:05:21.145,21.41,102357.96
2018-02-21 22:05:21.150,21.4,102356.44
2018-02-21 22:05:21.153,21.4,102356.44
2018-02-21 22:05:21.157,21.41,102360.63
2018-02-21 22:05:21.161,21.41,102365.96
2018-02-21 22:05:21.162,21.41,102365.96
2018-02-21 22:05:21.166,21.41,102357.96
2018-02-21 22:05:21.170,21.41,102365.96
2018-02-21 22:05:21.174,21.42,102364.84
2018-02-21 22:05:21.178,21.42,102364.84
2018-02-21 22:05:21.182,21.41,102358.73
2018-02-21 22:05:21.186,21.4,102362.52
2018-02-21 22:05:21.190,21.4,102362.52
2018-02-21 22:05:21.194,21.41,102357.96
2018-02-21 22:05:21.198,21.4,102362.52
2018-02-21 22:05:21.199,21.4,102359.85
2018-02-21 22:05:21.203,21.4,102359.85
2018-02-21 22:05:21.207,21.41,102363.29
2018-02-21 22:05:21.211,21.41,102360.63
2018-02-21 22:05:21.215,21.41,102360.63
2018-02-21 22:05:21.219,21.41,102364.07
2018-02-21 22:05:21.223,21.4,102367.85
2018-02-21 22:05:21.227,21.41,102357.96
2018-02-21 22:05:21.231,21.41,102357.96
2018-02-21 22:05:21.235,21.41,102357.96
2018-02-21 22:05:21.236,21.41,102363.29
2018-02-21 22:05:21.240,21.41,102363.29
2018-02-21 22:05:21.243,21.41,102363.29
2018-02-21 22:05:21.247,21.41,102363.29
2018-02-21 22:05:21.251,21.41,102360.63
2018-02-21 22:05:21.255,21.41,102360.63
2018-02-21 22:05:21.260,21.41,102363.29
2018-02-21 22:05:21.264,21.41,102365.96
2018-02-21 22:05:21.268,21.41,102363.29
2018-02-21 22:05:21.272,21.41,102363.29
2018-02-21 22:05:21.274,21.41,102357.96
2018-02-21 22:05:21.276,21.41,102357.96
2018-02-21 22:05:21.281,21.41,102357.96
2018-02-21 22:05:21.284,21.41,102357.96
2018-02-21 22:05:21.288,21.42,102359.5
2018-02-21 22:05:21.292,21.41,102365.96
2018-02-21 22:05:21.297,21.41,102365.96
2018-02-21 22:05:21.301,21.4,102359.85
2018-02-21 22:05:21.305,21.41,102358.73
2018-02-21 22:05:21.309,21.41,102358.73
2018-02-21 22:05:21.310,21.41,102357.96
2018-02-21 22:05:21.314,21.42,102364.84
2018-02-21 22:05:21.317,21.41,102364.07
2018-02-21 22:05:21.321,21.41,102364.07
2018-02-21 22:05:21.325,21.41,102361.39
2018-02-21 22:05:21.329,21.41,102363.29
2018-02-21 22:05:21.333,21.41,102363.29
2018-02-21 22:05:21.337,21.41,102360.63
2018-02-21 22:05:21.341,21.42,102359.5
